model,month,fcst_qty,prod_qty,업체(거래선)
PN003ACW-CLASSIC(MY),2026-06-01,0,30,Coway
PN003ACW-CLASSIC(MY),2026-07-01,30,0,Coway
PN003ACW-CLASSIC2,2026-06-01,890,1290,Coway
PN003ACW-CLASSIC2,2026-07-01,400,0,Coway
PN003ACW-CLASSIC2,2026-08-01,200,800,Coway
PN003ACW-CLASSIC2,2026-09-01,600,0,Coway
PN004WCW-MAIN,2026-06-01,0,993,Coway
PN004WCW-MAIN,2026-07-01,993,242,Coway
PN004WCW-MAIN,2026-08-01,442,1351,Coway
PN004WCW-MAIN,2026-09-01,1151,0,Coway
PN005WCW-FRONT,2026-06-01,0,1969,Coway
PN005WCW-FRONT,2026-07-01,2137,698,Coway
PN005WCW-FRONT,2026-08-01,1509,2230,Coway
PN005WCW-FRONT,2026-09-01,1251,0,Coway
PN005WCW-MAIN,2026-06-01,0,976,Coway
PN005WCW-MAIN,2026-07-01,1144,456,Coway
PN005WCW-MAIN,2026-08-01,1067,879,Coway
PN005WCW-MAIN,2026-09-01,100,0,Coway
PN011MWJ-V1,2026-06-01,0,52,Coway
PN011MWJ-V1,2026-07-01,52,122,Coway
PN011MWJ-V1,2026-08-01,122,132,Coway
PN011MWJ-V1,2026-09-01,132,0,Coway
PN011MWJ-VF(A),2026-06-01,0,500,Coway
PN011MWJ-VF(A),2026-07-01,1600,2000,Coway
PN011MWJ-VF(A),2026-08-01,3900,5200,Coway
PN011MWJ-VF(A),2026-09-01,2200,0,Coway
PN018ACW-IONIZER(B),2026-06-01,0,17,Coway
PN018ACW-IONIZER(B),2026-07-01,873,1270,Coway
PN018ACW-IONIZER(B),2026-08-01,1270,856,Coway
PN018ACW-PLASMA,2026-06-01,2440,3206,Coway
PN018ACW-PLASMA,2026-07-01,766,1000,Coway
PN018ACW-PLASMA,2026-08-01,4087,3133,Coway
PN018ACW-PLASMA,2026-09-01,46,0,Coway
PN018ACW-VF(A),2026-06-01,2440,3206,Coway
PN018ACW-VF(A),2026-07-01,766,1000,Coway
PN018ACW-VF(A),2026-08-01,4087,3133,Coway
PN018ACW-VF(A),2026-09-01,46,0,Coway
PN020ACW-V2,2026-06-01,622,622,Coway
PN020ACW-V2,2026-08-01,0,500,Coway
PN020ACW-V2,2026-09-01,500,0,Coway
PN020ACW-V2(A),2026-07-01,300,300,Coway
PN021BWJ-VF,2026-06-01,0,50,Coway
PN021BWJ-VF,2026-07-01,50,0,Coway
PN021BWJ-VF(A),2026-06-01,1200,3464,Coway
PN021BWJ-VF(A),2026-07-01,2900,636,Coway
PN021BWJ-VF(A),2026-08-01,0,1800,Coway
PN021BWJ-VF(A),2026-09-01,1800,0,Coway
PN022WWJ-VF(A-1),2026-06-01,300,800,Coway
PN022WWJ-VF(A-1),2026-07-01,932,832,Coway
PN022WWJ-VF(A-1),2026-08-01,1200,1400,Coway
PN022WWJ-VF(A-1),2026-09-01,600,0,Coway
PN022WWJ-VF(B),2026-06-01,453,12624,Coway
PN022WWJ-VF(B),2026-07-01,23370,12549,Coway
PN022WWJ-VF(B),2026-08-01,8250,13077,Coway
PN022WWJ-VF(B),2026-09-01,6177,0,Coway
PN026BWJ-S1400,2026-06-01,0,560,Coway
PN026BWJ-S1400,2026-07-01,2035,1475,Coway
PN026BWJ-S1400,2026-08-01,860,860,Coway
PN026BWJ-VF(A),2026-06-01,0,560,Coway
PN026BWJ-VF(A),2026-07-01,2035,1475,Coway
PN026BWJ-VF(A),2026-08-01,860,860,Coway
PN029WCW-TANK(A),2026-06-01,0,1150,Coway
PN029WCW-TANK(A),2026-07-01,1150,748,Coway
PN029WCW-TANK(A),2026-08-01,748,761,Coway
PN029WCW-TANK(A),2026-09-01,761,0,Coway
PN029WCW-TANK(A-1),2026-06-01,0,100,Coway
PN029WCW-TANK(A-1),2026-07-01,100,84,Coway
PN029WCW-TANK(A-1),2026-08-01,84,87,Coway
PN029WCW-TANK(A-1),2026-09-01,87,0,Coway
