업체(거래선),model,2026년 6월,2026년 7월,2026년 8월,2026년 9월,4개월 총합계(자재준비)
Coway,CHAMP FILTER_3118097,0,0,11,0,11
Coway,CHAMP FILTER_3118099,0,0,6,0,6
Coway,CHAMP FILTER_3118108,0,0,47,0,47
Coway,MAGNUM FILTER_3118101,0,0,5,0,5
Coway,MAGNUM FILTER_3118104,0,0,5,0,5
Coway,MAGNUM FILTER_3118109,0,0,12,0,12
Coway,PI500DCW-V2,3093,2298,1644,992,8027
Coway,PN001ACW-FND,785,765,1195,0,2745
Coway,PN001ACW-KEY,788,767,1196,0,2751
Coway,PN001ACW-MAIN,452,588,0,0,1040
Coway,PN001ACW-MAIN(CN),0,0,0,0,0
Coway,PN001ACW-MAIN(CO),0,0,0,0,0
Coway,PN001ACW-MAIN(EU),365,204,1629,167,2365
Coway,PN001ACW-MAIN(NCO),1068,1365,1117,1609,5159
Coway,PN001ACW-MAIN(NEU),0,0,0,0,0
Coway,PN001ACW-MAIN(NJP),0,0,0,0,0
Coway,PN001ACW-MAIN(NKR),229,233,384,653,1499
Coway,PN001ACW-MAIN(TW),0,0,0,0,0
Coway,PN001ACW-MAIN(US),1525,936,241,0,2702
Coway,PN002ACW-CHARGER,0,0,0,0,0
Coway,PN002ACW-CHARGER(A),0,0,0,0,0
Coway,PN002ACW-KEY,0,0,0,0,0
Coway,PN003ACW-CLASSIC,0,0,0,0,0
Coway,PN003ACW-CLASSIC(BO),0,371,73,0,444
Coway,PN003ACW-CLASSIC(EU),0,0,0,0,0
Coway,PN003ACW-CLASSIC(JP),0,0,0,0,0
Coway,PN003ACW-CLASSIC(MY),502,188,251,44,985
Coway,PN003ACW-CLASSIC(TW),0,0,0,0,0
Coway,PN003ACW-CLASSIC2,5115,3386,2324,1559,12384
Coway,PN004WCW-MAIN,1163,3308,1884,917,7272
Coway,PN005ACW-V1,649,649,649,649,2596
Coway,PN005ACW-VF,18825,36744,22189,27904,105662
Coway,PN005MWJ-VF(A),0,0,0,0,0
Coway,PN005WCW-FRONT,3105,3155,3789,1088,11137
Coway,PN005WCW-MAIN,2349,0,1072,379,3800
Coway,PN006WCW-FND,1046,681,808,728,3263
Coway,PN007MWJ-V1,0,0,0,0,0
Coway,PN007MWJ-V2,0,0,0,0,0
Coway,PN007MWJ-V4,0,0,0,0,0
Coway,PN010MWJ-VF,0,0,0,0,0
Coway,PN011MWJ-V1,62,76,21,82,241
Coway,PN011MWJ-VF,0,0,0,0,0
Coway,PN011MWJ-VF(A),5877,1880,3960,2907,14624
Coway,PN012DWJ-V2,0,39,20,1,60
Coway,PN013MCW-V2,155,197,367,32,751
Coway,PN016ACW-MAIN(KEY),0,0,0,0,0
Coway,PN016ACW-VF,266,2092,1222,1822,5402
Coway,PN016ACW-VF(A),546,625,507,920,2598
Coway,PN016ACW-VF(B),0,0,0,0,0
Coway,PN016ACW-WIFI(CO),0,0,0,0,0
Coway,PN018ACW-PLASMA,1467,1700,2308,2796,8271
Coway,PN018ACW-VF,0,0,0,0,0
Coway,PN018ACW-VF(A),2140,2256,2927,3468,10791
Coway,PN019AWJ-V2,0,0,0,0,0
Coway,PN01FCW-IONIZER,159,5,56,170,390
Coway,PN020ACW-V2,213,287,583,227,1310
Coway,PN020ACW-V2(A),0,0,0,0,0
Coway,PN020BWJ-VDC,0,0,0,0,0
Coway,PN020BWJ-VDC(A),0,0,0,0,0
Coway,PN020WWJ-VDC,355,0,0,0,355
Coway,PN021BWJ-VF,0,49,227,63,339
Coway,PN021BWJ-VF(A),2305,2770,2738,3111,10924
Coway,PN021BWJ-VF(B),195,154,180,209,738
Coway,PN021BWJ-VF(D),0,0,0,0,0
Coway,PN022WWJ-FRONT,3175,21159,25388,1321,51043
Coway,PN022WWJ-VF,597,609,429,359,1994
Coway,PN022WWJ-VF(A),0,0,0,0,0
Coway,PN022WWJ-VF(A-1),1692,1375,555,1440,5062
Coway,PN022WWJ-VF(B),0,0,0,0,0
Coway,PN022WWJ-VF(B-1),25241,25766,26774,26217,103998
Coway,PN026BWJ-S1200,0,0,0,0,0
Coway,PN026BWJ-S1400,824,456,1404,1059,3743
Coway,PN026BWJ-S1400(A),0,39,0,0,39
Coway,PN026BWJ-VF(A),876,564,1380,1087,3907
Coway,PN026BWJ-VF(E),0,39,0,0,39
Coway,PN028HCW-VF,153,219,271,88,731
Coway,PN029WCW-TANK(A),609,2252,929,955,4745
Coway,PN029WCW-TANK(A-1),15,209,53,80,357
Coway,PN029WCW-TANK(B),4098,4940,5854,6554,21446
Coway,PN029WCW-TANK(B-1),844,1554,1725,1579,5702
Coway,PN029WCW-TANK(C),0,0,200,312,512
Coway,PN029WCW-TANK(M),0,0,0,21797,21797
Coway,PN029WCW-VF,103,42,75,44,264
Coway,PN031BCW-KEY,8726,5190,7841,7333,29090
Coway,PN031BCW-VF,0,0,0,0,0
Coway,PN031BCW-VF(A),9766,9041,9174,9278,37259
Coway,PN033BWJ-VF,0,0,0,0,0
Coway,PN034WCW-PUMP(A),355,39,94,27,515
Coway,PN035ACW-HEATER,950,1212,585,0,2747
Coway,PN035ACW-VF,81,301,0,1455,1837
Coway,PN035MWJ-VF,0,0,0,0,0
Coway,PN035MWJ-VF(C),0,0,0,0,0
Coway,PN036MWJ-VF,1506,960,1267,1161,4894
Coway,PN036MWJ-VF(A),681,314,708,0,1703
Coway,PN036MWJ-VF(B),0,0,0,0,0
Coway,PN036MWJ-VF(C),596,627,975,711,2909
Coway,PN036MWJ-VF(D),1032,627,747,700,3106
Coway,PN037WCW-RY,0,0,0,0,0
Coway,PN037WCW-RY(A),0,0,0,0,0
Coway,PN037WCW-V1,58,113,156,90,417
Coway,PN037WCW-VF,0,0,0,0,0
Coway,PN037WCW-VF(A),0,0,5,0,5
Coway,PN037WCW-VF(EU),802,556,327,1546,3231
Coway,PN037WCW-VF(M),367,356,181,65,969
Coway,PN037WCW-VF(T),0,0,0,0,0
Coway,PN038BWJ-VF,0,0,0,0,0
Coway,PN038BWJ-VF(A),924,726,1270,443,3363
Coway,PN039BCW-V1,0,0,0,0,0
Coway,PN039BCW-VF,1371,0,0,0,1371
Coway,PN040WWJ-V2,6,7,3,12,28
Coway,PN041WCW-TANK(A),0,0,0,0,0
Coway,PN043WCW-TANK(SA),185,164,247,182,778
Coway,PN045WCW-FILTER,437,546,357,364,1704
